Year,Tech company?,Employer provide mental health benefits?,Know options for mental health care?,Employer discussed mental health?,Employer offer mental health resources?,Anonymity if you  take advantage of mental health resources?,Easy/difficult to ask for mental health medical leave?,Comfortable discussing mental health with supervisor?,Discussed your mental health with your employer?,Employer importance placed on physical health?,Employer importance placed on mental health?,Tech industry supports employees with mental health issues?,Age,Gender,Country
2019,TRUE,I don't know,No,Yes,Yes,I don't know,Very easy,Yes,FALSE,5,5,4,25,M,United States of America
2019,TRUE,Yes,No,No,Yes,Yes,I don't know,Maybe,FALSE,5,7,1,51,M,United States of America
2019,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,FALSE,5,4,2,27,M,United States of America
2019,TRUE,I don't know,No,Yes,Yes,Yes,Very easy,Yes,FALSE,1,3,3,37,M,United States of America
2019,TRUE,I don't know,No,I don't know,I don't know,I don't know,I don't know,No,FALSE,4,4,3,46,M,United States of America
2019,TRUE,Yes,No,No,No,I don't know,Somewhat difficult,No,FALSE,6,5,3,36,F,United States of America
2019,TRUE,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,FALSE,5,5,3,39,F,United States of America
2019,TRUE,Yes,No,Yes,Yes,Yes,Very easy,Yes,FALSE,8,7,2,49,M,United Kingdom
2019,TRUE,I don't know,N/A,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,8,8,3,45,M,United Kingdom
2019,TRUE,Yes,Yes,No,I don't know,Yes,Very easy,Yes,TRUE,5,5,4,40,M,United Kingdom
2019,TRUE,I don't know,No,No,No,Yes,Somewhat easy,Yes,FALSE,7,7,3,31,M,United States of America
2019,TRUE,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Yes,TRUE,7,5,4,37,M,United States of America
2019,TRUE,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,No,FALSE,7,7,3,26,F,United States of America
2019,FALSE,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,TRUE,4,2,3,43,M,Canada
2019,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,7,9,2,35,M,United States of America
2019,TRUE,Yes,No,Yes,I don't know,Yes,Very easy,Yes,FALSE,6,6,3,32,F,United States of America
