Year,Tech company?,Employer provide mental health benefits?,Know options for mental health care?,Employer discussed mental health?,Employer offer mental health resources?,Anonymity if you  take advantage of mental health resources?,Easy/difficult to ask for mental health medical leave?,Comfortable discussing mental health with supervisor?,Age,Gender,Country
2016,TRUE,Not eligible for coverage / N/A,N/A,No,No,I don't know,Very easy,Yes,39,M,United Kingdom
2016,TRUE,No,Yes,Yes,Yes,Yes,Somewhat easy,Yes,29,M,United States of America
2016,TRUE,No,N/A,No,No,I don't know,Neither easy nor difficult,Maybe,38,M ,United Kingdom
2016,FALSE,Yes,Yes,No,No,No,Neither easy nor difficult,No,43,F,United States of America
2016,TRUE,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,42,M,United Kingdom
2016,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Yes,30,M,United States of America
2016,TRUE,Yes,Yes,No,Yes,Yes,Very easy,Yes,37,F,United States of America
2016,FALSE,I don't know,No,No,No,I don't know,Very difficult,Maybe,44,F,United States of America
2016,TRUE,Yes,I am not sure,Yes,Yes,Yes,Very easy,Yes,28,M,United States of America
2016,FALSE,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,No,34,M,United States of America
2016,TRUE,Yes,I am not sure,No,No,Yes,Very easy,Yes,30,F,United States of America
2016,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,44,M,Canada
2016,TRUE,Yes,Yes,No,I don't know,Yes,Very easy,Yes,35,M,United States of America
2016,TRUE,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,52,M,United States of America
2016,TRUE,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,32,NB,Canada
2016,TRUE,No,No,No,No,I don't know,I don't know,Maybe,34,M,United Kingdom
2016,FALSE,I don't know,No,No,No,I don't know,I don't know,No,31,M,United States of America
2016,TRUE,No,N/A,No,No,I don't know,Very easy,Yes,26,M,United States of America
2016,FALSE,Yes,No,Yes,I don't know,I don't know,Somewhat easy,Yes,35,M,United States of America
2016,TRUE,Yes,Yes,No,No,I don't know,Very easy,No,25,M,Germany
2016,TRUE,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,33,M,Canada
2016,FALSE,Yes,Yes,I don't know,Yes,Yes,Very easy,Maybe,42,M,Germany
2016,FALSE,No,No,No,No,I don't know,Very difficult,No,27,M,Netherlands
2016,TRUE,I don't know,No,No,No,I don't know,Somewhat difficult,No,35,M,Germany
