year,tech_company,employer_benefits,know_options,employer_discussed_benefits,employer_resources,anonymity,difficulty_leave,comfortable_discussing,employer_discussed_issues,physical_importance,mental_importance,industry_support,age,gender,country
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,TRUE,8,6,2,57,F,Canada
2018,TRUE,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,No,FALSE,8,3,3,29,M,United States of America
2018,FALSE,Yes,Yes,No,No,I don't know,Somewhat easy,No,FALSE,3,1,3,46,M,United States of America
2018,TRUE,No,No,No,No,I don't know,Neither easy nor difficult,No,FALSE,8,8,1,34,M,Norway
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,7,5,4,29,NB,United States of America
2018,TRUE,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,7,8,3,55,M,United States of America
2018,TRUE,Yes,Yes,No,No,I don't know,I don't know,No,FALSE,4,4,2,29,NB,Finland
2018,TRUE,No,N/A,No,No,I don't know,I don't know,No,FALSE,10,8,4,35,M,Poland
2018,TRUE,I don't know,No,No,No,No,I don't know,No,TRUE,10,0,1,33,M,Russia
2018,FALSE,Yes,No,No,Yes,I don't know,Somewhat difficult,No,FALSE,3,1,1,37,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,TRUE,6,3,2,45,M,United States of America
2018,FALSE,No,No,No,No,I don't know,Very easy,Maybe,FALSE,6,0,2,31,M,Germany
2018,FALSE,I don't know,No,No,I don't know,I don't know,Somewhat easy,Maybe,FALSE,7,6,3,26,M,Germany
2018,TRUE,No,No,No,No,I don't know,Neither easy nor difficult,No,FALSE,6,0,1,27,F,Serbia
2018,FALSE,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,FALSE,5,0,2,35,M,Canada
2018,FALSE,Yes,No,No,Yes,I don't know,Neither easy nor difficult,No,FALSE,6,4,4,47,M,United States of America
2018,TRUE,Yes,Yes,I don't know,I don't know,I don't know,I don't know,Maybe,FALSE,10,10,3,37,M,United States of America
2018,FALSE,No,No,No,No,No,Difficult,No,FALSE,4,3,3,32,M,Colombia
2018,TRUE,Yes,No,No,I don't know,I don't know,Somewhat easy,No,FALSE,2,0,3,37,M,United States of America
2018,TRUE,Yes,Yes,I don't know,Yes,Yes,Somewhat easy,Yes,FALSE,5,5,4,36,M,United States of America
2018,TRUE,Yes,No,No,No,I don't know,Very easy,No,FALSE,4,1,2,45,M,United States of America
2018,FALSE,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,FALSE,5,5,3,30,M,United States of America
2018,TRUE,No,No,Yes,No,I don't know,Very easy,Maybe,FALSE,7,5,3,46,M,Germany
2018,TRUE,No,N/A,No,No,I don't know,Difficult,No,FALSE,5,2,1,29,M,India
2018,TRUE,I don't know,N/A,No,No,Yes,Somewhat easy,No,FALSE,8,6,2,26,M,Ukraine
2018,TRUE,I don't know,No,No,I don't know,I don't know,Difficult,No,TRUE,5,4,2,44,M,Canada
2018,TRUE,Yes,No,No,I don't know,I don't know,Neither easy nor difficult,No,FALSE,5,5,3,32,M,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,I don't know,Maybe,FALSE,6,2,1,34,M,Poland
2018,TRUE,Yes,N/A,Yes,Yes,Yes,Very easy,Maybe,TRUE,7,6,2,19,M,Australia
2018,FALSE,I don't know,No,No,I don't know,I don't know,I don't know,No,FALSE,7,7,3,38,M,United Kingdom
2018,TRUE,No,N/A,No,No,No,Difficult,No,FALSE,6,4,1,61,M,United States of America
2018,TRUE,Yes,Yes,No,I don't know,I don't know,I don't know,No,FALSE,7,7,1,44,M,United States of America
2018,FALSE,Yes,No,Yes,Yes,Yes,Somewhat easy,Yes,FALSE,7,6,3,31,M,Ireland
2018,TRUE,Yes,No,Yes,Yes,I don't know,Neither easy nor difficult,Yes,TRUE,8,6,2,30,F,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,I don't know,No,FALSE,5,1,1,44,M,United States of America
2018,FALSE,I don't know,Yes,No,No,I don't know,Very easy,Yes,TRUE,10,4,3,39,M,United States of America
2018,FALSE,I don't know,No,No,No,Yes,Somewhat difficult,No,FALSE,5,5,2,39,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,TRUE,9,7,3,33,M,United States of America
2018,FALSE,No,No,No,No,I don't know,Difficult,No,FALSE,6,2,3,34,M,Estonia
2018,TRUE,No,No,Yes,Yes,I don't know,Very easy,Maybe,FALSE,8,8,4,28,M,India
2018,TRUE,No,N/A,No,No,I don't know,Difficult,No,FALSE,2,0,2,43,F,Italy
2018,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,No,TRUE,10,3,1,42,M,United States of America
2018,FALSE,Yes,Yes,I don't know,Yes,I don't know,I don't know,Yes,FALSE,5,9,1,35,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,FALSE,7,8,3,28,F,United States of America
2018,TRUE,Yes,Yes,I don't know,I don't know,I don't know,Somewhat difficult,Yes,TRUE,5,5,4,37,M,United States of America
2018,TRUE,I don't know,Yes,No,No,I don't know,Somewhat easy,No,FALSE,10,5,3,35,F,United States of America
2018,TRUE,I don't know,No,No,I don't know,I don't know,I don't know,No,FALSE,7,1,2,31,M,United States of America
2018,TRUE,Yes,No,No,No,I don't know,Somewhat difficult,Maybe,FALSE,7,6,4,27,F,United States of America
2018,TRUE,Yes,No,Yes,Yes,I don't know,Very easy,Yes,TRUE,8,9,4,36,M,United States of America
2018,TRUE,I don't know,No,No,I don't know,Yes,Somewhat easy,Yes,TRUE,3,3,3,33,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Very easy,No,TRUE,5,5,4,26,M,United States of America
2018,FALSE,I don't know,N/A,No,No,I don't know,I don't know,No,FALSE,5,5,2,24,M,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,5,5,4,34,M,United States of America
2018,TRUE,Yes,Yes,No,No,I don't know,I don't know,No,FALSE,10,5,3,25,M,United States of America
2018,TRUE,I don't know,No,No,No,Yes,I don't know,No,FALSE,8,7,4,19,F,United States of America
2018,TRUE,Yes,No,No,I don't know,Yes,Somewhat difficult,No,FALSE,4,4,2,28,M,United States of America
2018,TRUE,Yes,Yes,No,No,Yes,Somewhat easy,Yes,TRUE,6,4,4,26,M,United States of America
2018,TRUE,No,N/A,No,No,No,Somewhat easy,Maybe,TRUE,2,2,2,32,M,South Africa
2018,FALSE,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,FALSE,5,2,1,23,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,3,5,4,46,M,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Difficult,Yes,TRUE,3,2,2,28,M,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,FALSE,5,0,1,30,F,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Somewhat difficult,Yes,TRUE,4,4,1,26,M,Brazil
2018,TRUE,Yes,Yes,No,No,Yes,Very easy,Maybe,FALSE,7,5,3,37,F,Mauritius
2018,TRUE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,TRUE,6,9,3,35,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,FALSE,5,5,2,26,F,United States of America
2018,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,FALSE,5,5,4,29,F,United Kingdom
2018,TRUE,Yes,Yes,I don't know,Yes,Yes,I don't know,Yes,FALSE,7,6,3,57,M,United States of America
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,FALSE,7,6,3,38,M,United States of America
2018,TRUE,Yes,No,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,7,8,3,20,F,United Kingdom
2018,TRUE,I don't know,No,No,No,I don't know,Difficult,No,FALSE,5,5,1,41,M,United States of America
2018,FALSE,Yes,No,No,No,No,Somewhat difficult,Maybe,FALSE,0,0,1,43,M,United States of America
2018,TRUE,Yes,Yes,No,Yes,Yes,I don't know,Yes,FALSE,5,5,3,35,M,United States of America
2018,TRUE,I don't know,No,No,No,I don't know,Neither easy nor difficult,Yes,TRUE,4,7,3,40,F,United States of America
2018,FALSE,I don't know,N/A,I don't know,I don't know,No,Neither easy nor difficult,Maybe,FALSE,5,2,4,28,M,Brazil
2018,FALSE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,TRUE,9,7,4,42,M,United States of America
2018,FALSE,Yes,No,No,Yes,Yes,Somewhat easy,Maybe,FALSE,2,2,3,39,M,United States of America
2018,FALSE,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,Yes,TRUE,5,3,2,28,M,United States of America
