year,tech_company,employer_benefits,know_options,employer_discussed_benefits,employer_resources,anonymity,difficulty_leave,comfortable_discussing,employer_discussed_issues,physical_importance,mental_importance,industry_support,age,gender,country
2020,TRUE,No,No,I don't know,Yes,I don't know,Somewhat easy,Maybe,FALSE,8,8,3,32,M,India
2020,TRUE,I don't know,No,No,No,I don't know,Very easy,No,FALSE,4,2,3,34,M,United States of America
2020,TRUE,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Yes,TRUE,8,8,4,44,F,United States of America
2020,TRUE,No,No,No,Yes,Yes,Difficult,No,FALSE,8,6,3,33,M,India
2020,TRUE,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,Maybe,TRUE,8,8,3,38,M,Philippines
2020,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,FALSE,9,9,4,27,F,India
2020,TRUE,I don't know,No,I don't know,No,Yes,Somewhat easy,Maybe,FALSE,5,5,3,21,M,Sri Lanka
2020,TRUE,I don't know,No,No,No,I don't know,Neither easy nor difficult,No,FALSE,8,4,3,30,F,United States of America
2020,TRUE,Yes,No,Yes,Yes,Yes,Difficult,No,FALSE,8,8,3,39,F,India
2020,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,8,7,3,34,M,United States of America
2020,TRUE,No,No,No,No,I don't know,I don't know,No,FALSE,8,3,1,30,M,Taiwan
2020,TRUE,No,N/A,No,No,I don't know,Difficult,No,FALSE,5,3,1,24,M,Australia
2020,TRUE,Not eligible for coverage / NA,No,No,I don't know,I don't know,Difficult,No,FALSE,8,5,2,50,M,India
2020,TRUE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,FALSE,8,7,2,27,M,United States of America
2020,TRUE,Yes,No,Yes,I don't know,Yes,Somewhat easy,No,FALSE,6,5,2,28,M,United Kingdom
2020,TRUE,I don't know,No,No,No,I don't know,Difficult,No,FALSE,6,7,3,27,F,India
2020,TRUE,I don't know,No,No,No,Yes,Difficult,Maybe,FALSE,10,7,1,34,M,United States of America
2020,TRUE,No,No,No,No,I don't know,Neither easy nor difficult,No,FALSE,7,6,3,42,M,India
2020,TRUE,Yes,Yes,Yes,Yes,No,Somewhat easy,Maybe,FALSE,8,8,5,22,M,Indonesia
2020,TRUE,No,No,No,No,No,Difficult,No,FALSE,4,0,1,28,F,India
2020,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,FALSE,8,8,3,36,M,United States of America
